Episode: 0, Score: -224.49, 100 score avg: -224.49
Episode: 47872, Score:  271.93, 100 score avg:  211.63
Episode: 48128, Score:  281.63, 100 score avg:  197.30
Episode: 48384, Score:  257.66, 100 score avg:  227.85
Episode: 48640, Score:  165.66, 100 score avg:  192.49
Episode: 48896, Score:  178.04, 100 score avg:  204.18
Episode: 49152, Score:  191.96, 100 score avg:  212.87
Episode: 49408, Score:  257.86, 100 score avg:  180.14
Episode: 49664, Score:  259.55, 100 score avg:  212.70
Episode: 49920, Score:  173.83, 100 score avg:  208.89
Episode: 50176, Score:  203.03, 100 score avg:  224.65
Episode: 50432, Score:  294.76, 100 score avg:  221.93
Episode: 50688, Score:  286.53, 100 score avg:  213.35
Episode: 50944, Score:  315.15, 100 score avg:  217.68
Episode: 51200, Score:  183.90, 100 score avg:  204.00
Episode: 51456, Score:  283.99, 100 score avg:  226.44
Episode: 51712, Score:   27.21, 100 score avg:  214.11
Episode: 51968, Score:   12.35, 100 score avg:  197.17
Episode: 52224, Score:  272.55, 100 score avg:  237.53
Episode: 52480, Score:  287.75, 100 score avg:  222.71
Episode: 52736, Score:  250.77, 100 score avg:  224.01
Episode: 52992, Score:  276.05, 100 score avg:  225.99
Episode: 53248, Score:  279.97, 100 score avg:  208.50
