#{"t_start": 1734366089.1383944, "env_id": "Blackjack-v1"}
r,l,t
1.0,2,1.87938
1.0,2,1.883792
-1.0,2,1.885569
1.0,2,1.890176
-1.0,1,1.891359
-1.0,1,1.892828
1.0,1,1.896625
-1.0,1,1.897559
1.0,2,1.899471
-1.0,1,1.902912
1.0,1,1.905459
-1.0,1,1.908618
1.0,1,1.910826
1.0,1,1.915008
-1.0,2,1.917344
-1.0,1,1.918358
-1.0,2,1.923104
-1.0,2,1.924617
1.0,2,1.929015
1.0,1,1.92994
-1.0,1,1.930896
-1.0,1,1.935256
1.0,1,1.936337
-1.0,1,1.937141
-1.0,1,1.938004
0.0,1,1.941704
1.0,1,1.942688
-1.0,1,1.943509
-1.0,2,1.948155
-1.0,1,1.949232
-1.0,4,1.95703
1.0,2,1.959326
1.0,1,1.962802
-1.0,1,1.969138
-1.0,1,1.970639
-1.0,3,1.977629
1.0,1,1.979431
-1.0,1,1.98042
-1.0,1,1.984051
-1.0,2,1.985751
-1.0,1,1.98671
1.0,1,1.990466
-1.0,1,1.991413
1.0,1,1.992483
-1.0,1,1.993382
-1.0,1,1.996989
-1.0,1,1.997983
-1.0,1,1.998954
-1.0,1,1.999861
-1.0,1,2.003417
-1.0,1,2.004507
1.0,2,2.006151
-1.0,1,2.009558
1.0,1,2.012167
1.0,2,2.014276
-1.0,1,2.018301
1.0,1,2.019409
1.0,1,2.020319
-1.0,1,2.021252
1.0,1,2.024927
1.0,1,2.025951
-1.0,1,2.026886
-1.0,1,2.027761
1.0,1,2.031254
-1.0,2,2.033056
-1.0,1,2.033925
1.0,1,2.037506
1.0,2,2.039533
1.0,1,2.04077
-1.0,2,2.046181
-1.0,1,2.047225
1.0,1,2.048458
-1.0,1,2.052832
-1.0,1,2.054069
1.0,1,2.055277
-1.0,2,2.060771
-1.0,1,2.061901
-1.0,1,2.063017
-1.0,3,2.069529
-1.0,1,2.076059
-1.0,2,2.082635
-1.0,1,2.083997
1.0,2,2.086112
-1.0,2,2.091505
-1.0,1,2.092489
-1.0,1,2.093886
-1.0,1,2.097691
-1.0,1,2.099434
-1.0,2,2.101975
-1.0,1,2.106369
1.0,1,2.107491
-1.0,1,2.10876
-1.0,1,2.110024
-1.0,2,2.115304
-1.0,1,2.116284
1.0,2,2.120616
-1.0,2,2.123129
1.0,2,2.12818
1.0,2,2.130542
-1.0,1,2.132083
1.0,2,2.137335
-1.0,3,2.143222
-1.0,2,2.145561
-1.0,1,2.146924
1.0,2,2.152993
1.0,1,2.154339
1.0,1,2.155463
-1.0,1,2.159303
-1.0,1,2.160426
1.0,4,2.168096
-1.0,2,2.170098
-1.0,1,2.174169
-1.0,1,2.179536
1.0,1,2.180909
-1.0,2,2.186223
1.0,1,2.187233
-1.0,1,2.188098
-1.0,1,2.189194
1.0,1,2.193074
0.0,1,2.194227
-1.0,2,2.197169
-1.0,2,2.204058
1.0,1,2.205884
1.0,2,2.21299
-1.0,3,2.216245
-1.0,2,2.222069
-1.0,2,2.224241
-1.0,1,2.228085
0.0,1,2.229003
-1.0,1,2.229929
-1.0,2,2.235489
1.0,1,2.236531
1.0,2,2.239099
1.0,1,2.243062
-1.0,1,2.244203
1.0,1,2.245427
-1.0,1,2.246197
-1.0,1,2.250177
1.0,1,2.251123
-1.0,1,2.252635
-1.0,2,2.258329
-1.0,1,2.260253
1.0,2,2.262605
-1.0,2,2.267375
1.0,1,2.268651
1.0,1,2.269813
1.0,1,2.27414
-1.0,1,2.275422
1.0,1,2.277288
1.0,1,2.278467
-1.0,1,2.288884
-1.0,2,2.291752
1.0,1,2.293162
-1.0,1,2.298485
1.0,1,2.300094
-1.0,1,2.301309
1.0,1,2.302465
-1.0,1,2.306725
-1.0,1,2.307786
1.0,1,2.308982
-1.0,1,2.309859
-1.0,1,2.313801
1.0,1,2.315076
-1.0,1,2.316276
1.0,1,2.317223
1.0,1,2.321569
-1.0,1,2.322732
-1.0,1,2.323914
-1.0,1,2.325251
-1.0,2,2.331103
-1.0,1,2.332187
-1.0,1,2.333293
1.0,1,2.337971
-1.0,1,2.339133
-1.0,1,2.340403
1.0,1,2.341739
-1.0,1,2.345902
-1.0,2,2.348579
1.0,1,2.350097
-1.0,2,2.355547
-1.0,1,2.356506
1.0,2,2.361365
-1.0,2,2.363296
-1.0,1,2.364188
-1.0,1,2.368223
1.0,1,2.369307
-1.0,2,2.371515
-1.0,1,2.375692
-1.0,1,2.377107
-1.0,1,2.378489
-1.0,2,2.384336
-1.0,1,2.385587
