neuron,iou,feature_length,best lab,w_nothing,w_left,w_main,w_right
39,0.6552280055274067,6,((((Angular Velocity High OR Left Leg reach ground) OR V_y Upward) AND (NOT Y Coord Far From Ground)) OR Right Leg reach ground),0.055829752,0.09013543,-0.4202213,0.056820493
141,0.6550637068172862,7,((((NOT Left Leg reach ground) AND (V_y High OR V_y Low)) OR Y Coord Far From Ground) AND (NOT V_y Upward)),-0.3649026,-0.4783482,-0.6868737,-0.26750842
485,0.6508761508761509,7,(((((NOT Right Leg reach ground) AND V_y Low) AND Angular Velocity Low) OR Y Coord Far From Ground) AND (NOT V_y Upward)),0.38143456,0.44532022,0.40657923,0.56732994
977,0.6461802802008988,7,((((Large Angle OR V_y Low) AND (NOT Right Leg reach ground)) AND (NOT V_y Upward)) OR X Coord Outside Wider Center),-0.24223018,-0.40213704,-0.1480017,-0.24879168
246,0.6405456852791879,4,(((Angle Near 0 OR Left Leg reach ground) OR Angular Velocity High) OR V_y Upward),-0.26153946,-0.23979351,-0.21265444,-0.3331734
37,0.6353074883192322,6,(((((NOT V_y High) AND Y Coord Near Ground) OR V_x High) OR Angular Velocity High) OR V_y Upward),-0.60369706,-0.111600175,-0.30910534,-0.3663193
837,0.6253908692933083,6,((((NOT Right Leg reach ground) AND V_y Low) AND Angle Near 0) AND (NOT Left Leg reach ground)),-0.13948515,-0.3313702,-0.1895747,-0.18418624
167,0.6200417536534447,5,(((Angle Near 0 AND V_y High) AND Angular Velocity Low) AND (NOT X Coord Outside Wider Center)),-0.41416538,-0.29475567,-0.15218148,-0.528171
509,0.6035743298131601,6,(((((NOT V_y Upward) AND Angular Velocity Low) OR Left Leg reach ground) OR Large Angle) OR X Coord Outside Wider Center),-0.18330495,-0.25004402,-0.15056191,-0.37511277
1006,0.5922928709055877,7,((((NOT Left Leg reach ground) AND (V_y High OR Y Coord Near Ground)) OR Large Angle) AND (NOT Left Leg reach ground)),-0.25166443,-0.34688038,-0.08539325,-0.18258445
957,0.5844155844155844,7,((((Angle Near 0 OR Left Leg reach ground) AND (NOT Right Leg reach ground)) OR Angular Velocity High) AND (NOT Right Leg reach ground)),0.54431635,0.37674358,0.5189233,0.40481418
471,0.582652254152386,7,((((Large Angle OR V_y High) AND Angular Velocity Low) AND (NOT V_y Upward)) AND (NOT Right Leg reach ground)),0.5361042,0.39077607,0.3591477,0.68173474
